event id,product,event type,success status,failure reason,execution time seconds,region,trigger time
AUTO00001,Voice Solution,Email Trigger,Success,,6.79,Chennai,11-02-2026 08:29
AUTO00002,Voice Solution,WhatsApp Trigger,Success,,2.13,Bangalore,15-02-2026 16:53
AUTO00003,Voice Solution,Lead Qualification,Success,,0.51,Chennai,11-01-2026 12:24
AUTO00004,Voice Solution,CRM Update,Success,,2.06,Chennai,08-05-2026 11:21
AUTO00005,Voice Solution,Follow-up Trigger,Success,,2.92,Mumbai,21-11-2025 14:40
AUTO00006,Voice Solution,WhatsApp Trigger,Success,,7.3,Bangalore,11-02-2026 20:37
AUTO00007,Voice Solution,Lead Qualification,Failed,Timeout,1.66,Delhi,02-03-2026 18:48
AUTO00008,Voice Solution,Email Trigger,Success,,4.39,Chennai,03-06-2026 08:08
AUTO00009,Voice Solution,Email Trigger,Success,,1.96,Hyderabad,27-01-2026 17:08
AUTO00010,Voice Solution,Follow-up Trigger,Success,,2.86,Chennai,08-02-2026 19:13
AUTO00011,Voice Solution,Follow-up Trigger,Success,,3.63,Delhi,01-04-2026 08:25
AUTO00012,Voice Solution,WhatsApp Trigger,Success,,10.08,Chennai,11-03-2026 17:41
AUTO00013,Voice Solution,Follow-up Trigger,Success,,5.53,Pune,30-03-2026 12:10
AUTO00014,Voice Solution,Call Summary Generation,Success,,1.15,Mumbai,16-07-2026 17:45
AUTO00015,Voice Solution,Call Summary Generation,Success,,3.1,Mumbai,11-05-2026 18:31
AUTO00016,Voice Solution,Lead Qualification,Success,,2.82,Chennai,10-04-2026 17:26
AUTO00017,Voice Solution,Lead Qualification,Success,,3.43,Mumbai,22-11-2025 08:01
AUTO00018,Voice Solution,Lead Qualification,Success,,0.66,Hyderabad,11-07-2026 10:32
AUTO00019,Voice Solution,Call Summary Generation,Success,,2.42,Bangalore,24-06-2026 13:00
AUTO00020,Voice Solution,WhatsApp Trigger,Success,,1.36,Chennai,19-12-2025 20:31
AUTO00021,Voice Solution,WhatsApp Trigger,Success,,1.19,Hyderabad,29-12-2025 11:42
AUTO00022,Voice Solution,Follow-up Trigger,Success,,4.36,Pune,19-04-2026 14:45
AUTO00023,Voice Solution,WhatsApp Trigger,Success,,6.56,Hyderabad,07-05-2026 20:33
AUTO00024,Voice Solution,Lead Qualification,Success,,4.53,Hyderabad,09-05-2026 15:49
AUTO00025,Voice Solution,CRM Update,Success,,7.26,Pune,24-04-2026 17:27
AUTO00026,Voice Solution,Lead Qualification,Success,,2,Delhi,21-12-2025 13:43
AUTO00027,Voice Solution,Call Summary Generation,Success,,12.84,Chennai,25-12-2025 19:25
AUTO00028,Voice Solution,CRM Update,Success,,0.2,Chennai,02-07-2026 10:40
AUTO00029,Voice Solution,Follow-up Trigger,Failed,API Error,7.92,Chennai,11-03-2026 13:32
AUTO00030,Voice Solution,Email Trigger,Success,,2.7,Bangalore,15-03-2026 13:43
AUTO00031,Voice Solution,WhatsApp Trigger,Success,,2.74,Hyderabad,21-11-2025 14:29
AUTO00032,Voice Solution,WhatsApp Trigger,Success,,0.28,Chennai,16-04-2026 14:24
AUTO00033,Voice Solution,Call Summary Generation,Success,,2.22,Mumbai,28-01-2026 15:16
AUTO00034,Voice Solution,Lead Qualification,Success,,1.38,Delhi,14-11-2025 09:08
AUTO00035,Voice Solution,Lead Qualification,Success,,0.7,Pune,30-06-2026 09:56
AUTO00036,Voice Solution,CRM Update,Success,,3.44,Pune,23-12-2025 17:56
AUTO00037,Voice Solution,WhatsApp Trigger,Success,,5.11,Bangalore,31-01-2026 13:58
AUTO00038,Voice Solution,Call Summary Generation,Success,,2.02,Pune,05-12-2025 18:06
AUTO00039,Voice Solution,Follow-up Trigger,Success,,1.43,Delhi,25-05-2026 15:54
AUTO00040,Voice Solution,Lead Qualification,Success,,2.75,Hyderabad,20-01-2026 13:41
AUTO00041,Voice Solution,WhatsApp Trigger,Success,,1.53,Pune,20-12-2025 08:22
AUTO00042,Voice Solution,Email Trigger,Success,,3.97,Pune,02-11-2025 20:23
AUTO00043,Voice Solution,Call Summary Generation,Success,,1.49,Mumbai,24-12-2025 14:53
AUTO00044,Voice Solution,CRM Update,Success,,4.64,Hyderabad,14-02-2026 08:05
AUTO00045,Voice Solution,Lead Qualification,Success,,0.4,Chennai,18-07-2026 09:38
AUTO00046,Voice Solution,Lead Qualification,Success,,2.41,Delhi,10-05-2026 11:24
AUTO00047,Voice Solution,Follow-up Trigger,Success,,0.83,Pune,06-06-2026 11:09
AUTO00048,Voice Solution,Lead Qualification,Success,,2.07,Mumbai,14-12-2025 08:29
AUTO00049,Voice Solution,Call Summary Generation,Success,,1.91,Delhi,11-04-2026 08:40
AUTO00050,Voice Solution,WhatsApp Trigger,Failed,Messaging Delivery Error,8.19,Bangalore,21-05-2026 19:04
AUTO00051,Voice Solution,WhatsApp Trigger,Success,,1.64,Mumbai,03-06-2026 09:28
AUTO00052,Voice Solution,WhatsApp Trigger,Success,,2.09,Bangalore,10-07-2026 12:24
AUTO00053,Voice Solution,Email Trigger,Success,,4.84,Pune,09-05-2026 11:18
AUTO00054,Voice Solution,Email Trigger,Success,,0.63,Mumbai,01-06-2026 14:57
AUTO00055,Voice Solution,Lead Qualification,Success,,0.54,Chennai,27-05-2026 20:56
AUTO00056,Voice Solution,Email Trigger,Success,,1.02,Delhi,25-06-2026 15:45
AUTO00057,Voice Solution,Email Trigger,Success,,0.23,Delhi,23-12-2025 18:27
AUTO00058,Voice Solution,Follow-up Trigger,Success,,1.1,Hyderabad,05-06-2026 16:15
AUTO00059,Voice Solution,Email Trigger,Success,,3.28,Mumbai,10-07-2026 09:20
AUTO00060,Voice Solution,CRM Update,Success,,1.13,Mumbai,07-05-2026 19:29
AUTO00061,Voice Solution,CRM Update,Success,,5.43,Bangalore,11-12-2025 11:23
AUTO00062,Voice Solution,CRM Update,Success,,1.82,Mumbai,06-04-2026 14:11
AUTO00063,Voice Solution,Lead Qualification,Success,,2.88,Delhi,15-11-2025 13:25
AUTO00064,Voice Solution,WhatsApp Trigger,Success,,4.09,Mumbai,04-01-2026 16:02
AUTO00065,Voice Solution,Follow-up Trigger,Success,,1.77,Hyderabad,09-11-2025 12:39
AUTO00066,Voice Solution,Lead Qualification,Success,,3.88,Hyderabad,09-03-2026 20:26
AUTO00067,Voice Solution,WhatsApp Trigger,Failed,Messaging Delivery Error,4.25,Delhi,16-03-2026 18:19
AUTO00068,Voice Solution,Follow-up Trigger,Success,,8.92,Delhi,02-01-2026 10:27
AUTO00069,Voice Solution,Follow-up Trigger,Success,,2.21,Delhi,19-03-2026 14:41
AUTO00070,Voice Solution,Follow-up Trigger,Success,,0.28,Mumbai,20-01-2026 09:10
AUTO00071,Voice Solution,CRM Update,Success,,2.12,Mumbai,12-04-2026 11:05
AUTO00072,Voice Solution,CRM Update,Success,,0.2,Chennai,19-06-2026 12:10
AUTO00073,Voice Solution,CRM Update,Success,,0.7,Pune,11-12-2025 10:13
AUTO00074,Voice Solution,Follow-up Trigger,Success,,4.6,Pune,28-11-2025 12:58
AUTO00075,Voice Solution,Call Summary Generation,Success,,2.56,Bangalore,15-03-2026 19:36
AUTO00076,Voice Solution,Follow-up Trigger,Success,,9.83,Mumbai,20-05-2026 16:09
AUTO00077,Voice Solution,CRM Update,Success,,3.39,Chennai,03-12-2025 17:31
AUTO00078,Voice Solution,Follow-up Trigger,Success,,1.36,Chennai,18-12-2025 09:52
AUTO00079,Voice Solution,CRM Update,Success,,2.19,Hyderabad,01-01-2026 18:01
AUTO00080,Voice Solution,CRM Update,Success,,2.27,Mumbai,04-06-2026 15:05
AUTO00081,Voice Solution,CRM Update,Failed,Data Validation Error,0.9,Chennai,07-02-2026 13:23
AUTO00082,Voice Solution,Call Summary Generation,Success,,2.63,Hyderabad,21-04-2026 18:21
AUTO00083,Voice Solution,WhatsApp Trigger,Success,,0.42,Bangalore,02-06-2026 12:57
AUTO00084,Voice Solution,Follow-up Trigger,Success,,4.77,Hyderabad,05-12-2025 08:10
AUTO00085,Voice Solution,Lead Qualification,Success,,2.51,Bangalore,15-06-2026 14:02
AUTO00086,Voice Solution,CRM Update,Success,,1.08,Pune,09-02-2026 14:41
AUTO00087,Voice Solution,Call Summary Generation,Success,,0.33,Pune,11-03-2026 10:36
AUTO00088,Voice Solution,Lead Qualification,Success,,1.31,Delhi,15-07-2026 17:50
AUTO00089,Voice Solution,WhatsApp Trigger,Success,,2.12,Delhi,05-11-2025 16:35
AUTO00090,Voice Solution,Follow-up Trigger,Success,,3.26,Hyderabad,06-06-2026 11:43
AUTO00091,Voice Solution,Call Summary Generation,Success,,5.89,Delhi,13-07-2026 12:35
AUTO00092,Voice Solution,CRM Update,Success,,2.74,Mumbai,26-05-2026 16:17
AUTO00093,Voice Solution,CRM Update,Success,,2.7,Hyderabad,15-11-2025 08:49
AUTO00094,Voice Solution,CRM Update,Failed,API Error,3.27,Chennai,12-12-2025 16:48
AUTO00095,Voice Solution,Call Summary Generation,Success,,0.79,Mumbai,28-04-2026 13:44
AUTO00096,Voice Solution,Lead Qualification,Success,,1.15,Hyderabad,02-01-2026 14:31
AUTO00097,Voice Solution,WhatsApp Trigger,Success,,2.42,Pune,19-06-2026 11:30
AUTO00098,Voice Solution,Follow-up Trigger,Success,,0.67,Bangalore,29-06-2026 19:23
AUTO00099,Voice Solution,WhatsApp Trigger,Success,,4.26,Delhi,22-12-2025 15:55
AUTO00100,Voice Solution,CRM Update,Success,,0.72,Delhi,04-02-2026 09:50
AUTO00101,Voice Solution,WhatsApp Trigger,Success,,0.25,Delhi,10-06-2026 20:22
AUTO00102,Voice Solution,Lead Qualification,Success,,6.94,Hyderabad,19-06-2026 12:15
AUTO00103,Voice Solution,Email Trigger,Success,,1.2,Mumbai,25-06-2026 10:06
AUTO00104,Voice Solution,Email Trigger,Success,,4.94,Bangalore,23-03-2026 15:35
AUTO00105,Voice Solution,Follow-up Trigger,Success,,4.01,Delhi,20-04-2026 15:58
AUTO00106,Voice Solution,Follow-up Trigger,Failed,Timeout,4.06,Mumbai,29-11-2025 11:48
AUTO00107,Voice Solution,WhatsApp Trigger,Success,,4.76,Chennai,06-12-2025 10:35
AUTO00108,Voice Solution,Follow-up Trigger,Success,,0.89,Pune,13-11-2025 12:13
AUTO00109,Voice Solution,Call Summary Generation,Success,,7.6,Chennai,09-04-2026 20:21
AUTO00110,Voice Solution,Lead Qualification,Success,,2.36,Bangalore,06-05-2026 10:21
AUTO00111,Voice Solution,CRM Update,Success,,2.82,Delhi,01-07-2026 08:09
AUTO00112,Voice Solution,CRM Update,Success,,2.97,Chennai,25-01-2026 18:18
AUTO00113,Voice Solution,WhatsApp Trigger,Success,,0.99,Pune,05-01-2026 16:10
AUTO00114,Voice Solution,CRM Update,Success,,1.44,Mumbai,19-04-2026 10:46
AUTO00115,Voice Solution,WhatsApp Trigger,Success,,2.87,Mumbai,15-12-2025 15:43
AUTO00116,Voice Solution,Follow-up Trigger,Success,,6.5,Chennai,01-01-2026 16:19
AUTO00117,Voice Solution,Follow-up Trigger,Success,,0.93,Delhi,14-03-2026 11:51
AUTO00118,Voice Solution,Call Summary Generation,Success,,1.98,Pune,28-11-2025 09:03
AUTO00119,Voice Solution,Call Summary Generation,Success,,2.44,Bangalore,16-02-2026 16:29
AUTO00120,Voice Solution,Lead Qualification,Success,,2.82,Delhi,14-12-2025 19:06
AUTO00121,Voice Solution,CRM Update,Success,,5.86,Hyderabad,08-03-2026 19:36
AUTO00122,Voice Solution,Call Summary Generation,Success,,0.84,Chennai,19-06-2026 12:32
AUTO00123,Voice Solution,Lead Qualification,Success,,2.79,Hyderabad,09-05-2026 20:31
AUTO00124,Voice Solution,Email Trigger,Success,,3.82,Chennai,13-06-2026 16:13
AUTO00125,Voice Solution,Call Summary Generation,Success,,4.99,Bangalore,01-03-2026 10:20
AUTO00126,Voice Solution,Lead Qualification,Success,,2.78,Delhi,24-02-2026 11:36
AUTO00127,Voice Solution,WhatsApp Trigger,Success,,1.56,Pune,21-06-2026 17:10
AUTO00128,Voice Solution,WhatsApp Trigger,Success,,1.12,Delhi,17-07-2026 13:31
AUTO00129,Voice Solution,Lead Qualification,Success,,2.28,Chennai,17-05-2026 13:02
AUTO00130,Voice Solution,Follow-up Trigger,Success,,0.57,Mumbai,17-03-2026 10:56
AUTO00131,Voice Solution,Email Trigger,Success,,3.34,Hyderabad,14-04-2026 18:18
AUTO00132,Voice Solution,Lead Qualification,Success,,4.16,Pune,13-06-2026 19:03
AUTO00133,Voice Solution,Call Summary Generation,Success,,6.49,Pune,22-06-2026 14:49
AUTO00134,Voice Solution,Follow-up Trigger,Success,,1.85,Delhi,21-04-2026 08:57
AUTO00135,Voice Solution,Lead Qualification,Failed,Data Validation Error,3.73,Delhi,01-04-2026 11:31
AUTO00136,Voice Solution,CRM Update,Success,,5.4,Chennai,09-04-2026 11:00
AUTO00137,Voice Solution,Call Summary Generation,Success,,3.16,Mumbai,04-02-2026 17:05
AUTO00138,Voice Solution,Call Summary Generation,Success,,3.55,Hyderabad,21-06-2026 13:35
AUTO00139,Voice Solution,WhatsApp Trigger,Success,,3.56,Mumbai,29-04-2026 08:34
AUTO00140,Voice Solution,CRM Update,Success,,1.28,Pune,21-02-2026 20:21
AUTO00141,Voice Solution,CRM Update,Success,,3.48,Mumbai,22-12-2025 17:25
AUTO00142,Voice Solution,Call Summary Generation,Success,,1.94,Chennai,21-02-2026 14:55
AUTO00143,Voice Solution,Email Trigger,Success,,7.34,Mumbai,09-02-2026 17:00
AUTO00144,Voice Solution,Follow-up Trigger,Success,,0.65,Hyderabad,21-02-2026 17:40
AUTO00145,Voice Solution,WhatsApp Trigger,Success,,6.33,Pune,20-01-2026 17:08
AUTO00146,Voice Solution,CRM Update,Success,,2.59,Bangalore,06-05-2026 19:16
AUTO00147,Voice Solution,WhatsApp Trigger,Success,,2.11,Pune,21-02-2026 15:01
AUTO00148,Voice Solution,Call Summary Generation,Success,,3.65,Bangalore,02-11-2025 14:49
AUTO00149,Voice Solution,Follow-up Trigger,Success,,0.7,Hyderabad,10-03-2026 17:50
AUTO00150,Voice Solution,Lead Qualification,Success,,1.45,Pune,08-06-2026 09:14
AUTO00151,Voice Solution,CRM Update,Success,,1.23,Pune,24-12-2025 12:12
AUTO00152,Voice Solution,Follow-up Trigger,Success,,1.7,Pune,12-06-2026 14:38
AUTO00153,Voice Solution,WhatsApp Trigger,Success,,7.72,Pune,13-06-2026 10:32
AUTO00154,Voice Solution,Call Summary Generation,Success,,0.49,Chennai,06-03-2026 16:51
AUTO00155,Voice Solution,Follow-up Trigger,Success,,5.05,Delhi,10-03-2026 19:59
AUTO00156,Voice Solution,Lead Qualification,Success,,1.16,Pune,23-12-2025 19:56
AUTO00157,Voice Solution,Follow-up Trigger,Success,,2.31,Chennai,21-04-2026 08:30
AUTO00158,Voice Solution,Call Summary Generation,Success,,3.24,Hyderabad,06-06-2026 20:30
AUTO00159,Voice Solution,WhatsApp Trigger,Success,,0.68,Pune,09-04-2026 19:38
AUTO00160,Voice Solution,CRM Update,Failed,CRM Sync Error,1.06,Mumbai,17-05-2026 16:55
AUTO00161,Voice Solution,CRM Update,Success,,1.84,Pune,05-07-2026 18:26
AUTO00162,Voice Solution,Email Trigger,Success,,1.48,Pune,22-05-2026 08:13
AUTO00163,Voice Solution,WhatsApp Trigger,Success,,4.6,Bangalore,03-05-2026 19:22
AUTO00164,Voice Solution,Email Trigger,Success,,3.39,Mumbai,03-03-2026 16:15
AUTO00165,Voice Solution,Email Trigger,Success,,0.57,Pune,13-07-2026 17:37
AUTO00166,Voice Solution,Call Summary Generation,Success,,1.64,Pune,06-02-2026 12:02
AUTO00167,Voice Solution,Call Summary Generation,Success,,2.29,Pune,17-05-2026 14:44
AUTO00168,Voice Solution,Call Summary Generation,Success,,3.05,Chennai,28-06-2026 12:08
AUTO00169,Voice Solution,Lead Qualification,Success,,2.07,Hyderabad,24-03-2026 12:25
AUTO00170,Voice Solution,WhatsApp Trigger,Success,,3.47,Bangalore,05-02-2026 18:36
AUTO00171,Voice Solution,CRM Update,Success,,1.52,Pune,20-05-2026 19:37
AUTO00172,Voice Solution,WhatsApp Trigger,Success,,3.66,Hyderabad,04-03-2026 18:05
AUTO00173,Voice Solution,Call Summary Generation,Failed,API Error,5.3,Bangalore,06-05-2026 17:29
AUTO00174,Voice Solution,Lead Qualification,Success,,5.02,Bangalore,17-07-2026 11:13
AUTO00175,Voice Solution,WhatsApp Trigger,Success,,3.01,Bangalore,28-03-2026 19:07
AUTO00176,Voice Solution,WhatsApp Trigger,Success,,2.44,Pune,10-07-2026 12:48
AUTO00177,Voice Solution,Email Trigger,Success,,3.76,Chennai,27-03-2026 15:36
AUTO00178,Voice Solution,WhatsApp Trigger,Success,,2.7,Pune,28-03-2026 20:05
AUTO00179,Voice Solution,Email Trigger,Success,,2.97,Pune,18-05-2026 11:56
AUTO00180,Voice Solution,Email Trigger,Success,,3.1,Hyderabad,08-03-2026 12:24
AUTO00181,Voice Solution,Follow-up Trigger,Failed,Data Validation Error,6.03,Delhi,09-12-2025 10:17
AUTO00182,Voice Solution,Call Summary Generation,Success,,1.69,Delhi,09-03-2026 10:00
AUTO00183,Voice Solution,Lead Qualification,Success,,9.11,Delhi,31-03-2026 08:12
AUTO00184,Voice Solution,Email Trigger,Success,,1.91,Hyderabad,07-02-2026 20:56
AUTO00185,Voice Solution,WhatsApp Trigger,Success,,0.9,Mumbai,10-07-2026 11:09
AUTO00186,Voice Solution,Email Trigger,Success,,3.06,Hyderabad,24-03-2026 13:04
AUTO00187,Voice Solution,Email Trigger,Success,,0.89,Bangalore,20-02-2026 16:27
AUTO00188,Voice Solution,Email Trigger,Success,,3.97,Pune,30-12-2025 15:16
AUTO00189,Voice Solution,CRM Update,Success,,1.67,Mumbai,02-11-2025 19:54
AUTO00190,Voice Solution,CRM Update,Success,,4.94,Bangalore,12-07-2026 10:07
AUTO00191,Voice Solution,CRM Update,Success,,1.33,Pune,20-03-2026 13:14
AUTO00192,Voice Solution,CRM Update,Success,,1.95,Pune,07-12-2025 15:03
AUTO00193,Voice Solution,Follow-up Trigger,Success,,6.3,Bangalore,09-04-2026 15:24
AUTO00194,Voice Solution,Email Trigger,Success,,5.56,Hyderabad,09-11-2025 14:49
AUTO00195,Voice Solution,Follow-up Trigger,Success,,2.59,Delhi,21-06-2026 16:00
AUTO00196,Voice Solution,WhatsApp Trigger,Success,,1.97,Mumbai,07-02-2026 10:11
AUTO00197,Voice Solution,Call Summary Generation,Success,,0.87,Pune,27-03-2026 10:01
AUTO00198,Voice Solution,Lead Qualification,Success,,0.45,Chennai,27-05-2026 17:21
AUTO00199,Voice Solution,Follow-up Trigger,Success,,0.96,Pune,11-03-2026 10:50
AUTO00200,Voice Solution,CRM Update,Success,,6.12,Delhi,01-04-2026 18:24
AUTO00201,Voice Solution,CRM Update,Success,,3.15,Pune,24-12-2025 17:38
AUTO00202,Voice Solution,WhatsApp Trigger,Success,,1.08,Chennai,28-02-2026 12:56
AUTO00203,Voice Solution,Email Trigger,Success,,3.87,Hyderabad,10-04-2026 20:24
AUTO00204,Voice Solution,Lead Qualification,Success,,1.07,Pune,24-02-2026 12:54
AUTO00205,Voice Solution,Follow-up Trigger,Success,,4.77,Mumbai,14-01-2026 13:00
AUTO00206,Voice Solution,Email Trigger,Success,,1.74,Hyderabad,21-02-2026 20:46
AUTO00207,Voice Solution,Email Trigger,Success,,4.39,Chennai,12-02-2026 14:37
AUTO00208,Voice Solution,Call Summary Generation,Success,,0.43,Bangalore,12-07-2026 20:07
AUTO00209,Voice Solution,Call Summary Generation,Success,,0.76,Pune,15-06-2026 16:58
AUTO00210,Voice Solution,Follow-up Trigger,Success,,4.35,Hyderabad,20-02-2026 12:53
AUTO00211,Voice Solution,Follow-up Trigger,Success,,4.56,Pune,07-02-2026 18:29
AUTO00212,Voice Solution,Follow-up Trigger,Success,,6.48,Mumbai,02-04-2026 14:27
AUTO00213,Voice Solution,Follow-up Trigger,Success,,3.22,Pune,13-05-2026 15:12
AUTO00214,Voice Solution,CRM Update,Success,,1.71,Hyderabad,12-04-2026 16:00
AUTO00215,Voice Solution,Email Trigger,Success,,2,Delhi,27-05-2026 16:06
AUTO00216,Voice Solution,Email Trigger,Success,,3.16,Hyderabad,18-04-2026 20:55
AUTO00217,Voice Solution,CRM Update,Success,,0.56,Chennai,10-04-2026 19:48
AUTO00218,Voice Solution,Email Trigger,Success,,0.38,Hyderabad,07-01-2026 12:19
AUTO00219,Voice Solution,Follow-up Trigger,Success,,4.69,Mumbai,15-03-2026 15:05
AUTO00220,Voice Solution,Lead Qualification,Success,,5.83,Hyderabad,14-05-2026 19:07
AUTO00221,Voice Solution,Call Summary Generation,Success,,3.01,Hyderabad,08-03-2026 17:22
