account id,lead source,product interested,sales stage,followup required,deal value inr,account manager,region,last updated
ACC0001,Event,Voice Solution,Closed Won,Yes,431627,Manager D,Mumbai,03-03-2026
ACC0002,Inbound,Voice Solution,Demo,Yes,244444,Manager C,Chennai,02-07-2026
ACC0003,LinkedIn,Voice Solution,Closed Won,Yes,530898,Manager A,Mumbai,14-01-2026
ACC0004,LinkedIn,Sherpa AI,Discovery,No,2030917,Manager C,Pune,06-11-2025
ACC0005,Outbound,Sherpa AI,Demo,Yes,1764588,Manager E,Chennai,21-11-2025
ACC0006,Event,Voice Solution,Qualified,Yes,149574,Manager D,Hyderabad,09-05-2026
ACC0007,Event,Sherpa AI,Closed Lost,No,1178642,Manager D,Chennai,13-06-2026
ACC0008,Event,Voice Solution,Discovery,Yes,2411373,Manager B,Chennai,11-02-2026
ACC0009,Referral,Voice Solution,Proposal,No,2180029,Manager F,Hyderabad,07-02-2026
ACC0010,Inbound,Sherpa AI,Demo,Yes,240017,Manager D,Mumbai,22-01-2026
ACC0011,LinkedIn,Sherpa AI,Closed Lost,Yes,129418,Manager A,Hyderabad,30-04-2026
ACC0012,Inbound,Voice Solution,Demo,No,674162,Manager A,Pune,01-04-2026
ACC0013,Inbound,Voice Solution,Closed Won,No,230538,Manager A,Bangalore,26-12-2025
ACC0014,Inbound,Voice Solution,Closed Won,Yes,2134328,Manager E,Bangalore,09-05-2026
ACC0015,Event,Voice Solution,Demo,No,313699,Manager D,Chennai,22-11-2025
ACC0016,Outbound,Voice Solution,Demo,Yes,1361041,Manager D,Hyderabad,07-01-2026
ACC0017,Outbound,Sherpa AI,Negotiation,Yes,357470,Manager A,Hyderabad,04-05-2026
ACC0018,Event,Voice Solution,Closed Lost,Yes,2048031,Manager B,Hyderabad,10-11-2025
ACC0019,LinkedIn,Sherpa AI,Closed Won,Yes,461981,Manager B,Pune,05-01-2026
ACC0020,LinkedIn,Voice Solution,Discovery,Yes,379548,Manager D,Pune,13-06-2026
ACC0021,LinkedIn,Voice Solution,Closed Won,No,1745493,Manager D,Mumbai,03-03-2026
ACC0022,Outbound,Voice Solution,Demo,Yes,548834,Manager C,Delhi,08-12-2025
ACC0023,Outbound,Voice Solution,Proposal,Yes,2247151,Manager D,Delhi,03-03-2026
ACC0024,Inbound,Sherpa AI,Closed Won,Yes,2376583,Manager A,Delhi,05-04-2026
ACC0025,Event,Voice Solution,Discovery,No,584023,Manager F,Mumbai,06-01-2026
ACC0026,Referral,Voice Solution,Closed Won,No,1425414,Manager E,Hyderabad,13-03-2026
ACC0027,Inbound,Sherpa AI,Proposal,No,1053618,Manager D,Delhi,20-03-2026
ACC0028,Partner,Sherpa AI,Closed Won,No,2004557,Manager D,Hyderabad,21-01-2026
ACC0029,Outbound,Voice Solution,Discovery,No,1336878,Manager A,Chennai,28-12-2025
ACC0030,Inbound,Voice Solution,Demo,No,132799,Manager C,Delhi,29-03-2026
ACC0031,Event,Sherpa AI,Closed Won,No,2025296,Manager F,Chennai,11-03-2026
ACC0032,Partner,Sherpa AI,Qualified,Yes,2339380,Manager D,Mumbai,08-01-2026
ACC0033,Inbound,Sherpa AI,Qualified,Yes,2499941,Manager B,Bangalore,08-07-2026
ACC0034,Event,Voice Solution,Closed Lost,No,794298,Manager B,Pune,26-04-2026
ACC0035,Event,Sherpa AI,Discovery,Yes,439758,Manager B,Mumbai,11-01-2026
ACC0036,Outbound,Voice Solution,Closed Lost,Yes,1371262,Manager E,Mumbai,17-11-2025
ACC0037,Referral,Voice Solution,Discovery,Yes,2158836,Manager E,Mumbai,09-04-2026
ACC0038,Inbound,Sherpa AI,Demo,No,2209572,Manager F,Delhi,09-01-2026
ACC0039,Event,Voice Solution,Closed Won,Yes,380456,Manager D,Chennai,21-02-2026
ACC0040,LinkedIn,Voice Solution,Negotiation,No,907827,Manager D,Pune,20-06-2026
ACC0041,Event,Voice Solution,Proposal,No,402445,Manager D,Delhi,21-11-2025
ACC0042,Referral,Voice Solution,Proposal,No,2244124,Manager E,Bangalore,15-03-2026
ACC0043,Event,Sherpa AI,Closed Won,No,1229429,Manager F,Pune,19-02-2026
ACC0044,Outbound,Sherpa AI,Discovery,No,182504,Manager D,Mumbai,04-07-2026
ACC0045,Inbound,Voice Solution,Demo,Yes,909286,Manager A,Hyderabad,08-11-2025
ACC0046,Outbound,Voice Solution,Qualified,Yes,432924,Manager C,Bangalore,26-05-2026
ACC0047,Inbound,Sherpa AI,Proposal,Yes,468602,Manager B,Chennai,13-05-2026
ACC0048,Partner,Sherpa AI,Discovery,No,1474340,Manager B,Bangalore,17-12-2025
ACC0049,Inbound,Voice Solution,Demo,No,2024598,Manager A,Delhi,30-06-2026
ACC0050,Partner,Sherpa AI,Proposal,No,2035204,Manager D,Hyderabad,10-11-2025
ACC0051,Outbound,Sherpa AI,Qualified,Yes,696842,Manager F,Delhi,11-03-2026
ACC0052,LinkedIn,Voice Solution,Qualified,Yes,217781,Manager F,Pune,31-12-2025
ACC0053,Referral,Voice Solution,Negotiation,Yes,625261,Manager E,Mumbai,13-04-2026
ACC0054,LinkedIn,Voice Solution,Demo,Yes,1922648,Manager D,Mumbai,13-11-2025
ACC0055,Partner,Sherpa AI,Closed Won,Yes,945218,Manager F,Bangalore,27-05-2026
ACC0056,Event,Voice Solution,Negotiation,Yes,221403,Manager D,Mumbai,04-07-2026
ACC0057,Event,Voice Solution,Qualified,No,1869147,Manager B,Mumbai,13-03-2026
ACC0058,LinkedIn,Voice Solution,Negotiation,Yes,649634,Manager B,Pune,02-07-2026
ACC0059,Event,Sherpa AI,Qualified,Yes,1744844,Manager E,Chennai,08-12-2025
ACC0060,Partner,Voice Solution,Closed Won,No,2011950,Manager B,Chennai,26-12-2025
ACC0061,Outbound,Sherpa AI,Closed Lost,Yes,1940980,Manager D,Delhi,18-12-2025
ACC0062,Referral,Sherpa AI,Proposal,Yes,1983071,Manager A,Delhi,13-02-2026
ACC0063,Inbound,Voice Solution,Negotiation,Yes,1278593,Manager E,Chennai,29-12-2025
ACC0064,Partner,Voice Solution,Discovery,Yes,1606158,Manager A,Bangalore,16-01-2026
ACC0065,Partner,Voice Solution,Demo,Yes,1811638,Manager D,Chennai,06-06-2026
ACC0066,Inbound,Sherpa AI,Closed Won,Yes,709122,Manager E,Delhi,25-12-2025
ACC0067,Inbound,Voice Solution,Discovery,Yes,1039044,Manager A,Hyderabad,25-12-2025
ACC0068,Referral,Voice Solution,Discovery,Yes,2244056,Manager E,Mumbai,09-03-2026
ACC0069,Referral,Voice Solution,Demo,Yes,1200896,Manager D,Pune,24-01-2026
ACC0070,Referral,Voice Solution,Negotiation,No,882884,Manager F,Hyderabad,02-06-2026
ACC0071,Event,Sherpa AI,Demo,Yes,889031,Manager E,Hyderabad,23-02-2026
ACC0072,Partner,Sherpa AI,Closed Lost,No,1498356,Manager F,Mumbai,19-12-2025
ACC0073,Outbound,Sherpa AI,Qualified,Yes,840079,Manager D,Chennai,06-01-2026
ACC0074,Inbound,Voice Solution,Demo,Yes,811525,Manager E,Bangalore,09-03-2026
ACC0075,Partner,Voice Solution,Negotiation,No,1338503,Manager E,Hyderabad,29-11-2025
ACC0076,Partner,Sherpa AI,Discovery,Yes,1383425,Manager F,Bangalore,03-12-2025
ACC0077,Referral,Voice Solution,Negotiation,Yes,2329082,Manager B,Pune,27-02-2026
ACC0078,Referral,Sherpa AI,Discovery,No,1574372,Manager F,Pune,29-04-2026
ACC0079,Partner,Voice Solution,Qualified,Yes,433060,Manager F,Pune,31-03-2026
ACC0080,Referral,Voice Solution,Qualified,No,1839736,Manager F,Delhi,13-03-2026
ACC0081,Event,Sherpa AI,Closed Lost,No,2054201,Manager D,Hyderabad,04-05-2026
ACC0082,Inbound,Sherpa AI,Proposal,Yes,1385423,Manager C,Pune,14-03-2026
ACC0083,Partner,Sherpa AI,Closed Won,Yes,244015,Manager F,Delhi,26-04-2026
ACC0084,Inbound,Voice Solution,Demo,Yes,2299494,Manager E,Pune,22-11-2025
ACC0085,Event,Voice Solution,Proposal,No,1429556,Manager A,Chennai,29-06-2026
ACC0086,Referral,Voice Solution,Proposal,No,1648160,Manager B,Hyderabad,16-01-2026
ACC0087,LinkedIn,Sherpa AI,Closed Lost,No,486804,Manager F,Delhi,23-05-2026
ACC0088,Event,Sherpa AI,Negotiation,Yes,1960288,Manager F,Pune,04-11-2025
ACC0089,LinkedIn,Voice Solution,Negotiation,No,2321373,Manager B,Delhi,14-04-2026
ACC0090,Inbound,Sherpa AI,Qualified,Yes,1225894,Manager F,Pune,08-03-2026
ACC0091,Partner,Sherpa AI,Proposal,Yes,2067239,Manager E,Chennai,15-12-2025
ACC0092,Referral,Sherpa AI,Proposal,No,1094670,Manager C,Bangalore,06-06-2026
ACC0093,Event,Voice Solution,Closed Lost,Yes,885072,Manager F,Pune,23-06-2026
ACC0094,Referral,Voice Solution,Discovery,No,1520298,Manager B,Bangalore,16-03-2026
ACC0095,LinkedIn,Sherpa AI,Discovery,Yes,1810525,Manager F,Hyderabad,17-04-2026
ACC0096,LinkedIn,Voice Solution,Demo,No,1928531,Manager D,Chennai,25-06-2026
ACC0097,Outbound,Sherpa AI,Discovery,Yes,2363235,Manager E,Hyderabad,01-02-2026
ACC0098,Partner,Sherpa AI,Qualified,Yes,894609,Manager E,Bangalore,05-11-2025
ACC0099,LinkedIn,Sherpa AI,Closed Won,Yes,623099,Manager C,Chennai,05-04-2026
ACC0100,Partner,Voice Solution,Proposal,Yes,978340,Manager D,Mumbai,03-07-2026
ACC0101,Outbound,Voice Solution,Closed Won,Yes,676115,Manager D,Chennai,20-01-2026
ACC0102,Event,Voice Solution,Closed Won,No,2121013,Manager C,Chennai,05-07-2026
ACC0103,Outbound,Voice Solution,Discovery,Yes,2265924,Manager A,Mumbai,17-03-2026
ACC0104,Partner,Voice Solution,Proposal,Yes,253354,Manager F,Delhi,02-01-2026
ACC0105,LinkedIn,Voice Solution,Qualified,Yes,1616008,Manager D,Delhi,24-02-2026
ACC0106,Inbound,Voice Solution,Closed Lost,Yes,242412,Manager A,Delhi,21-02-2026
ACC0107,Partner,Voice Solution,Demo,No,458773,Manager A,Bangalore,01-12-2025
ACC0108,Referral,Voice Solution,Demo,No,1497363,Manager E,Chennai,07-11-2025
ACC0109,Inbound,Voice Solution,Discovery,Yes,2009692,Manager F,Pune,03-11-2025
ACC0110,Partner,Voice Solution,Proposal,Yes,1519330,Manager E,Mumbai,01-07-2026
ACC0111,Referral,Sherpa AI,Discovery,No,2055340,Manager B,Pune,26-12-2025
ACC0112,Outbound,Voice Solution,Demo,Yes,904597,Manager E,Bangalore,12-01-2026
ACC0113,Inbound,Voice Solution,Closed Won,Yes,1782186,Manager D,Mumbai,10-11-2025
ACC0114,Partner,Sherpa AI,Closed Won,Yes,1203091,Manager D,Pune,31-12-2025
ACC0115,Event,Sherpa AI,Discovery,Yes,209446,Manager F,Bangalore,20-12-2025
ACC0116,Outbound,Voice Solution,Proposal,Yes,1856463,Manager A,Bangalore,02-03-2026
ACC0117,Referral,Sherpa AI,Closed Won,Yes,159789,Manager D,Bangalore,24-04-2026
ACC0118,Event,Sherpa AI,Qualified,No,2229343,Manager E,Mumbai,01-11-2025
ACC0119,LinkedIn,Sherpa AI,Closed Won,Yes,1879018,Manager E,Pune,08-12-2025
ACC0120,Outbound,Voice Solution,Discovery,Yes,804960,Manager F,Pune,09-05-2026
ACC0121,Outbound,Sherpa AI,Negotiation,Yes,973889,Manager E,Hyderabad,18-01-2026
ACC0122,Partner,Voice Solution,Proposal,Yes,988908,Manager C,Bangalore,09-05-2026
ACC0123,Partner,Voice Solution,Proposal,Yes,1030340,Manager F,Delhi,03-05-2026
ACC0124,Referral,Sherpa AI,Closed Won,No,1817038,Manager F,Chennai,06-01-2026
ACC0125,Outbound,Voice Solution,Qualified,Yes,2409117,Manager D,Hyderabad,17-11-2025
ACC0126,Partner,Sherpa AI,Demo,No,1262493,Manager F,Hyderabad,28-05-2026
ACC0127,LinkedIn,Voice Solution,Proposal,Yes,2260417,Manager B,Mumbai,11-12-2025
ACC0128,Partner,Sherpa AI,Closed Won,No,625007,Manager D,Hyderabad,23-02-2026
ACC0129,Outbound,Voice Solution,Discovery,Yes,314514,Manager D,Pune,08-02-2026
ACC0130,Inbound,Voice Solution,Closed Won,Yes,2089220,Manager C,Mumbai,19-03-2026
ACC0131,Event,Voice Solution,Demo,No,232141,Manager D,Mumbai,17-11-2025
ACC0132,Outbound,Voice Solution,Discovery,Yes,1221861,Manager A,Delhi,13-01-2026
