call id,customer id,product,channel,followup channel,region,language,sentiment,call duration mins,ai accuracy percent,conversion,call outcome,call time
CALL00001,CONT00702,Voice Solution,Voice,Email,Mumbai,English,Positive,3.12,93.52,0,Connected,11-02-2026 08:29
CALL00002,CONT00564,Voice Solution,Voice,None,Mumbai,Marathi,Positive,0.54,77.99,0,Not Connected,15-02-2026 16:53
CALL00003,CONT00088,Voice Solution,Voice,WhatsApp,Pune,Marathi,Positive,8.9,95.22,0,Connected,11-01-2026 12:24
CALL00004,CONT00313,Voice Solution,Voice,Email,Chennai,Telugu,Neutral,8.32,83.44,1,Connected,08-05-2026 11:21
CALL00005,CONT00851,Voice Solution,Voice,Email,Chennai,Tamil,Neutral,12.26,87.98,1,Connected,21-11-2025 14:40
CALL00006,CONT00066,Voice Solution,Voice,Email,Bangalore,Marathi,Negative,6.36,84.88,0,Connected,11-02-2026 20:37
CALL00007,CONT00662,Voice Solution,Voice,Email,Delhi,Tamil,Neutral,19.05,97.77,0,Connected,02-03-2026 18:48
CALL00008,CONT00020,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Neutral,0.21,86,0,Not Connected,03-06-2026 08:08
CALL00009,CONT00033,Voice Solution,Voice,WhatsApp,Mumbai,Marathi,Positive,0.9,91.11,0,Not Connected,27-01-2026 17:08
CALL00010,CONT00840,Voice Solution,Voice,WhatsApp,Mumbai,English,Positive,6.07,91.37,0,Connected,08-02-2026 19:13
CALL00011,CONT00793,Voice Solution,Voice,WhatsApp,Bangalore,Hindi,Positive,1.13,82.7,0,Voicemail,01-04-2026 08:25
CALL00012,CONT00558,Voice Solution,Voice,Email,Mumbai,Tamil,Neutral,0.62,88.02,0,Not Connected,11-03-2026 17:41
CALL00013,CONT00073,Voice Solution,Voice,None,Delhi,Marathi,Positive,1.23,94.52,0,Connected,30-03-2026 12:10
CALL00014,CONT00866,Voice Solution,Voice,None,Bangalore,Marathi,Neutral,4.37,84.13,1,Connected,16-07-2026 17:45
CALL00015,CONT00825,Voice Solution,Voice,None,Delhi,Telugu,Neutral,12.03,92.64,0,Connected,11-05-2026 18:31
CALL00016,CONT00343,Voice Solution,Voice,WhatsApp,Bangalore,English,Positive,2.7,86.84,0,Connected,10-04-2026 17:26
CALL00017,CONT00133,Voice Solution,Voice,WhatsApp,Mumbai,Kannada,Positive,11.74,94.32,0,Connected,22-11-2025 08:01
CALL00018,CONT00055,Voice Solution,Voice,WhatsApp,Bangalore,Marathi,Neutral,25.72,97.24,0,Connected,11-07-2026 10:32
CALL00019,CONT00061,Voice Solution,Voice,WhatsApp,Chennai,Hindi,Positive,0.62,78.46,0,Not Connected,24-06-2026 13:00
CALL00020,CONT00857,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Neutral,8.92,81.81,1,Connected,19-12-2025 20:31
CALL00021,CONT00520,Voice Solution,Voice,Email,Mumbai,Marathi,Neutral,5.43,86.31,0,Connected,29-12-2025 11:42
CALL00022,CONT00272,Voice Solution,Voice,None,Pune,Marathi,Neutral,1.02,95.83,0,Not Connected,19-04-2026 14:45
CALL00023,CONT00246,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Neutral,0.76,91.16,0,Not Connected,07-05-2026 20:33
CALL00024,CONT00176,Voice Solution,Voice,WhatsApp,Mumbai,Telugu,Neutral,12.08,82.28,0,Connected,09-05-2026 15:49
CALL00025,CONT00628,Voice Solution,Voice,None,Hyderabad,Tamil,Negative,0.27,91.89,0,Not Connected,24-04-2026 17:27
CALL00026,CONT00317,Voice Solution,Voice,WhatsApp,Chennai,Marathi,Positive,23.05,83.93,0,Connected,21-12-2025 13:43
CALL00027,CONT00783,Voice Solution,Voice,None,Hyderabad,Kannada,Neutral,27.47,92.85,1,Connected,25-12-2025 19:25
CALL00028,CONT00705,Voice Solution,Voice,None,Bangalore,Hindi,Positive,10.6,91.19,0,Connected,02-07-2026 10:40
CALL00029,CONT00662,Voice Solution,Voice,None,Hyderabad,English,Positive,4.59,83.91,1,Connected,11-03-2026 13:32
CALL00030,CONT00131,Voice Solution,Voice,WhatsApp,Mumbai,English,Positive,12.04,88.17,0,Connected,15-03-2026 13:43
CALL00031,CONT00102,Voice Solution,Voice,Email,Pune,Kannada,Neutral,2.96,94.62,0,Connected,21-11-2025 14:29
CALL00032,CONT00310,Voice Solution,Voice,Email,Pune,Telugu,Positive,3.59,79.04,0,Connected,16-04-2026 14:24
CALL00033,CONT00782,Voice Solution,Voice,Email,Delhi,Telugu,Positive,16.21,90.01,1,Connected,28-01-2026 15:16
CALL00034,CONT00292,Voice Solution,Voice,WhatsApp,Hyderabad,Telugu,Negative,11.2,82.97,1,Connected,14-11-2025 09:08
