interaction_id,product,sales_rep,region,customer_segment,use_case,session_duration_mins,suggestions_generated,suggestions_used,objections_detected,objections_assisted,ai_confidence_percent,customer_sentiment,conversion_status,interaction_date
SHERPA00001,Sherpa AI,Rep 45,Hyderabad,SMB,Service Support,9.7,7,5,4,3,91.3,Negative,Converted,2025-12-04 13:11:37
SHERPA00002,Sherpa AI,Rep 16,Hyderabad,SMB,Sales Consultation,9.8,8,4,5,4,94.1,Negative,Not Converted,2026-07-03 11:27:28
SHERPA00003,Sherpa AI,Rep 37,Delhi,Enterprise,Sales Consultation,19.7,6,5,2,2,91.4,Neutral,Follow-up,2025-11-05 11:50:43
SHERPA00004,Sherpa AI,Rep 25,Hyderabad,Mid-Market,Service Support,13.6,7,5,6,3,87.8,Neutral,Converted,2026-03-21 14:03:25
SHERPA00005,Sherpa AI,Rep 9,Mumbai,Mid-Market,Sales Consultation,16.7,7,4,3,3,93.8,Positive,Not Converted,2026-05-05 13:02:18
SHERPA00006,Sherpa AI,Rep 28,Mumbai,Enterprise,Product Discovery,18.6,7,4,3,2,90.8,Positive,Follow-up,2025-12-02 12:30:39
SHERPA00007,Sherpa AI,Rep 9,Hyderabad,SMB,Guided Demo,15.5,10,8,3,2,86.3,Positive,Follow-up,2025-12-24 17:09:17
SHERPA00008,Sherpa AI,Rep 12,Bangalore,Enterprise,Service Support,8.5,6,4,3,2,91.1,Neutral,Follow-up,2026-06-17 09:53:54
SHERPA00009,Sherpa AI,Rep 18,Chennai,Mid-Market,Service Support,20.5,6,3,3,2,82.6,Positive,Follow-up,2026-02-12 12:40:12
SHERPA00010,Sherpa AI,Rep 27,Pune,Enterprise,Product Discovery,8.3,7,4,5,4,95.5,Neutral,Converted,2026-04-25 12:18:22
SHERPA00011,Sherpa AI,Rep 26,Mumbai,Mid-Market,Product Discovery,9.4,11,6,3,2,92.4,Positive,Follow-up,2026-03-15 16:02:03
SHERPA00012,Sherpa AI,Rep 26,Hyderabad,Mid-Market,Product Discovery,11.8,11,5,6,4,94.4,Positive,Follow-up,2026-04-28 09:55:41
SHERPA00013,Sherpa AI,Rep 10,Pune,SMB,Product Discovery,18.4,7,5,2,1,94.4,Neutral,Not Converted,2026-06-25 18:38:25
SHERPA00014,Sherpa AI,Rep 17,Hyderabad,Mid-Market,Objection Handling,12.4,8,6,4,3,84.4,Neutral,Converted,2026-07-01 15:21:53
SHERPA00015,Sherpa AI,Rep 32,Mumbai,Mid-Market,Service Support,10.7,7,3,4,3,82.4,Positive,Not Converted,2025-12-10 17:19:42
SHERPA00016,Sherpa AI,Rep 24,Delhi,SMB,Sales Consultation,17.9,9,7,2,1,95.8,Positive,Converted,2025-12-02 09:37:30
SHERPA00017,Sherpa AI,Rep 43,Chennai,SMB,Service Support,8.4,7,5,4,3,83.9,Positive,Converted,2026-05-07 13:20:18
SHERPA00018,Sherpa AI,Rep 48,Mumbai,Mid-Market,Service Support,12.9,6,4,2,2,90.8,Positive,Not Converted,2026-02-27 18:37:01
SHERPA00019,Sherpa AI,Rep 8,Pune,Enterprise,Service Support,13.4,5,4,4,3,86.3,Neutral,Not Converted,2026-01-19 18:03:39
SHERPA00020,Sherpa AI,Rep 30,Hyderabad,Enterprise,Product Discovery,17.5,5,3,5,4,91.7,Positive,Not Converted,2026-02-23 13:32:45
SHERPA00021,Sherpa AI,Rep 26,Delhi,SMB,Product Discovery,8.1,6,4,1,1,93.5,Positive,Converted,2026-04-24 16:57:24
SHERPA00022,Sherpa AI,Rep 24,Mumbai,Mid-Market,Objection Handling,19.3,11,7,4,2,85.8,Negative,Follow-up,2026-05-15 14:26:09
SHERPA00023,Sherpa AI,Rep 27,Chennai,Enterprise,Service Support,12.9,5,4,3,2,87.6,Neutral,Converted,2025-11-25 17:49:08
SHERPA00024,Sherpa AI,Rep 15,Delhi,Enterprise,Guided Demo,9.4,7,4,5,4,88.0,Positive,Converted,2026-03-23 10:19:35
SHERPA00025,Sherpa AI,Rep 28,Pune,SMB,Objection Handling,16.5,7,5,4,3,91.7,Positive,Not Converted,2026-02-15 10:33:58
SHERPA00026,Sherpa AI,Rep 11,Hyderabad,Mid-Market,Product Discovery,20.1,6,3,1,1,91.6,Positive,Not Converted,2026-06-19 18:46:26
SHERPA00027,Sherpa AI,Rep 39,Bangalore,Mid-Market,Service Support,18.7,6,4,5,3,84.2,Positive,Converted,2026-01-18 10:10:00
SHERPA00028,Sherpa AI,Rep 2,Chennai,SMB,Product Discovery,17.5,8,6,4,3,91.9,Neutral,Converted,2025-11-13 18:29:33
SHERPA00029,Sherpa AI,Rep 9,Delhi,Enterprise,Sales Consultation,13.4,9,6,5,3,88.3,Neutral,Follow-up,2026-01-06 13:06:37
SHERPA00030,Sherpa AI,Rep 50,Mumbai,Mid-Market,Product Discovery,11.1,5,3,4,2,92.9,Positive,Not Converted,2026-01-24 17:27:53
SHERPA00031,Sherpa AI,Rep 45,Mumbai,Mid-Market,Product Discovery,19.8,7,5,4,3,89.6,Neutral,Converted,2026-07-11 16:21:27
